id,symbol,name,asset_class,currency,isin
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008
4,AAPL,Apple Inc,EQUITY,USD,US0378331005
5,MSFT,Microsoft Corp,EQUITY,USD,US5949181045
6,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059
7,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286
8,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39
9,T.TO,Telus Corp,EQUITY,CAD,CA87971M1032
10,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DE0001102341
11,UST10Y,US 10Y Treasury,FIXED_INCOME,USD,US912828Z948
12,GILT10Y,UK 10Y Gilt,FIXED_INCOME,GBP,GB00BFWFPL34
13,EUR/USD,EUR/USD Spot,FX,USD,NULL
14,USD/JPY,USD/JPY Spot,FX,JPY,NULL
15,GBP/USD,GBP/USD Spot,FX,USD,NULL
16,GEN0016,Generated Instrument 16,EQUITY,USD,NULL
17,GEN0017,Generated Instrument 17,FIXED_INCOME,EUR,NULL
18,GEN0018,Generated Instrument 18,FX,GBP,NULL
19,GEN0019,Generated Instrument 19,COMMODITY,JPY,NULL
20,GEN0020,Generated Instrument 20,DERIVATIVE,CHF,NULL
21,GEN0021,Generated Instrument 21,EQUITY,USD,NULL
22,GEN0022,Generated Instrument 22,FIXED_INCOME,EUR,NULL
23,GEN0023,Generated Instrument 23,FX,GBP,NULL
24,GEN0024,Generated Instrument 24,COMMODITY,JPY,NULL
25,GEN0025,Generated Instrument 25,DERIVATIVE,CHF,NULL
26,GEN0026,Generated Instrument 26,EQUITY,USD,NULL
27,GEN0027,Generated Instrument 27,FIXED_INCOME,EUR,NULL
28,GEN0028,Generated Instrument 28,FX,GBP,NULL
29,GEN0029,Generated Instrument 29,COMMODITY,JPY,NULL
30,GEN0030,Generated Instrument 30,DERIVATIVE,CHF,NULL
31,GEN0031,Generated Instrument 31,EQUITY,USD,NULL
32,GEN0032,Generated Instrument 32,FIXED_INCOME,EUR,NULL
33,GEN0033,Generated Instrument 33,FX,GBP,NULL
34,GEN0034,Generated Instrument 34,COMMODITY,JPY,NULL
35,GEN0035,Generated Instrument 35,DERIVATIVE,CHF,NULL
36,GEN0036,Generated Instrument 36,EQUITY,USD,NULL
37,GEN0037,Generated Instrument 37,FIXED_INCOME,EUR,NULL
38,GEN0038,Generated Instrument 38,FX,GBP,NULL
39,GEN0039,Generated Instrument 39,COMMODITY,JPY,NULL
40,GEN0040,Generated Instrument 40,DERIVATIVE,CHF,NULL
41,GEN0041,Generated Instrument 41,EQUITY,USD,NULL
42,GEN0042,Generated Instrument 42,FIXED_INCOME,EUR,NULL
43,GEN0043,Generated Instrument 43,FX,GBP,NULL
44,GEN0044,Generated Instrument 44,COMMODITY,JPY,NULL
45,GEN0045,Generated Instrument 45,DERIVATIVE,CHF,NULL
46,GEN0046,Generated Instrument 46,EQUITY,USD,NULL
47,GEN0047,Generated Instrument 47,FIXED_INCOME,EUR,NULL
48,GEN0048,Generated Instrument 48,FX,GBP,NULL
49,GEN0049,Generated Instrument 49,COMMODITY,JPY,NULL
50,GEN0050,Generated Instrument 50,DERIVATIVE,CHF,NULL
